time,fast_barostat_volume,fast_barostat_pressure,slow_barostat_volume,slow_barostat_pressure
51.5,996.142970174,1.38570298255,1006.54655709,0.345344290855
51.75,996.867111057,1.3132888943,1005.30974162,0.469025838093
52,996.867802121,1.31321978794,1003.83424934,0.616575066418
52.25,996.795936991,1.32040630088,1001.84065072,0.815934928452
52.5,997.188144396,1.28118556043,1000.85931678,0.914068322349
52.75,997.235558349,1.27644416511,1002.02295907,0.797704092504
53,999.646398306,1.03536016944,1000.69433221,0.930566779122
53.25,998.674683292,1.13253167076,1000.87971705,0.912028294935
53.5,999.710922367,1.02890776326,1000.22473066,0.977526933768
53.75,1000.9293901,0.907060989704,999.496098075,1.0503901925
54,1000.50574966,0.949425033871,1000.36687915,0.963312085253
54.25,998.702016412,1.12979835884,1000.53620069,0.946379930936
54.5,996.870165508,1.31298344916,998.546282836,1.14537171645
54.75,994.674619172,1.53253808282,999.627605564,1.03723944362
55,999.762291176,1.02377088242,999.959826094,1.00401739058
55.25,1004.96904403,0.503095597047,998.808678909,1.11913210907
55.5,1001.08186898,0.891813101819,999.594290536,1.04057094637
55.75,1002.32158372,0.767841628156,998.692658096,1.13073419037
56,1001.82940722,0.817059277677,998.496097148,1.15039028518
56.25,999.975333433,1.00246665669,998.325177545,1.16748224551
56.5,996.641324349,1.33586756513,998.401780482,1.15982195178
56.75,992.962183285,1.70378167153,1000.29205035,0.970794964947
57,995.322429928,1.46775700722,997.879812918,1.21201870816
57.25,996.032735667,1.39672643335,999.761389963,1.02386100372
57.5,998.170311765,1.18296882353,1000.45549183,0.954450817263
57.75,1002.8005312,0.719946879508,1001.11569381,0.888430619081
58,999.935154389,1.00648456108,999.135736391,1.08642636088
58.25,999.617036852,1.03829631478,998.373712877,1.16262871233
58.5,999.68167629,1.03183237103,1000.03880195,0.996119804777
58.75,998.862237917,1.11377620827,1000.28601708,0.97139829241
59,1000.39957483,0.960042516737,998.645067448,1.13549325524
59.25,998.64998868,1.13500113197,998.092015322,1.1907984678
59.5,999.471657881,1.05283421187,997.214529068,1.27854709318
59.75,1005.64333865,0.43566613461,996.252638739,1.37473612608
60,1004.30285277,0.569714722998,995.478511645,1.45214883549
60.25,999.935272377,1.0064727623,995.515817339,1.44841826606
60.5,999.172752797,1.08272472031,994.681160071,1.53188399293
60.75,996.990542868,1.30094571316,993.662937444,1.63370625559
61,999.520972691,1.04790273087,993.381726216,1.66182737836
61.25,997.45721692,1.25427830804,994.753262824,1.52467371758
61.5,998.667778465,1.13322215354,995.078108099,1.49218919008
61.75,1000.36912474,0.963087526142,995.67353529,1.43264647097
62,1003.50210468,0.64978953157,997.734523334,1.2265476666
62.25,1001.97024907,0.802975093403,997.210470977,1.2789529023
62.5,1005.88193471,0.411806528587,998.965729627,1.10342703726
62.75,998.486787959,1.15132120414,999.555431043,1.0444568957
63,999.408604393,1.05913956069,998.727736516,1.12722634842
63.25,995.377354119,1.46226458808,998.508674295,1.14913257047
63.5,999.656341283,1.03436587173,1000.52192824,0.94780717645
63.75,1005.2532505,0.47467495029,1000.20179231,0.979820768623
64,1006.29105811,0.370894189234,1001.83323644,0.816676355686
64.25,1004.57605586,0.542394414447,1001.57684512,0.842315487895
64.5,1009.58374366,0.0416256338916,1001.16288082,0.883711917628
64.75,1006.66161094,0.333838906086,1001.87986408,0.812013592088
65,1008.64392446,0.135607553794,1001.66850419,0.833149580678
65.25,1004.21079919,0.578920080795,1002.28676775,0.77132322527
65.5,1001.98189239,0.801810760869,1001.60864334,0.839135665633
65.75,998.714309341,1.12856906585,1000.61612889,0.938387111431
66,1000.64430992,0.935569007615,1001.03546688,0.896453312363
66.25,1000.79995835,0.920004164893,998.455222699,1.15447773014
66.5,1004.26980008,0.573019992313,998.88475032,1.11152496803
66.75,1001.1174479,0.888255210005,998.400346276,1.15996537242
67,1001.56082704,0.843917296391,996.671868277,1.33281317229
67.25,1000.51812988,0.948187012095,997.162862138,1.28371378623
67.5,1001.60512508,0.839487491949,997.554052139,1.24459478611
67.75,1002.7319105,0.726808949716,998.42665403,1.15733459698
68,1002.05644872,0.794355128034,998.008541367,1.19914586334
68.25,1004.22961541,0.57703845881,999.430125122,1.05698748775
68.5,1000.24453433,0.975546566525,999.960091962,1.00399080376
68.75,1001.23535627,0.876464373427,1001.83768343,0.816231657229
69,996.086658791,1.39133412093,1001.7963165,0.820368350313
69.25,996.439456772,1.35605432282,1000.95679929,0.904320070508
69.5,1002.76984272,0.723015727973,1001.5472297,0.845277029822
69.75,1003.24747931,0.675252069051,1001.83096548,0.816903452049
70,1001.9964203,0.800357970029,1002.13468554,0.786531446487
70.25,1002.64299023,0.735700976695,1000.61071352,0.938928647546
70.5,998.173302547,1.18266974535,999.504015537,1.04959844635
70.75,998.474331206,1.15256687937,999.371844534,1.06281554665
71,1000.2832409,0.971675909968,1000.6283248,0.937167520137
71.25,1002.58270247,0.741729752535,999.24656523,1.07534347703
71.5,1004.13813203,0.586186796715,1000.0158037,0.998419629846
71.75,1004.77660116,0.522339884214,1000.02184696,0.997815304002
72,1002.43851468,0.756148532397,998.913175175,1.10868248249
72.25,1001.62272202,0.83772779771,998.823436792,1.11765632079
72.5,1004.69024661,0.530975338779,997.111655176,1.28883448242
72.75,1000.4841104,0.951588959837,996.833501884,1.31664981157
73,1003.18492814,0.681507185794,996.368077548,1.36319224522
73.25,1002.69042085,0.730957914744,996.435360402,1.35646395981
73.5,1005.98021169,0.401978830817,996.635551577,1.33644484229
73.75,1001.91695713,0.808304287006,996.800395898,1.31996041016
74,1000.44523808,0.95547619177,995.722324264,1.42776757358
74.25,992.931193505,1.70688064946,997.972318811,1.20276811894
74.5,991.953928059,1.80460719409,999.372554981,1.06274450195
74.75,995.079505585,1.49204944152,999.606364136,1.03936358639
75,997.819056991,1.21809430085,999.25610095,1.07438990499
75.25,997.656145085,1.23438549153,1000.50027383,0.949972617388
75.5,1000.81450087,0.918549913266,999.529911212,1.04700887875
75.75,1000.15829169,0.984170831217,1000.28076738,0.971923261824
76,1000.73577391,0.926422609159,998.962645635,1.10373543652
76.25,1000.7271475,0.927285249966,999.778724942,1.02212750582
76.5,999.645409247,1.03545907533,999.941491979,1.00585080211
76.75,999.707163873,1.0292836127,1001.70158759,0.829841241192
77,999.672288955,1.03277110449,1004.11543762,0.588456238256
77.25,1000.43029915,0.95697008528,1002.68819887,0.731180113157
77.5,997.76983522,1.22301647795,1002.41532221,0.758467779019
77.75,1003.23772384,0.676227616207,1002.82204085,0.717795915062
78,1002.13271763,0.786728236696,1003.46122375,0.653877625152
78.25,1003.41942628,0.658057371562,1004.57440884,0.542559115683
78.5,1006.48710091,0.351289909307,1005.70180998,0.429819002291
78.75,1005.63964113,0.436035886871,1005.17251638,0.482748361926
79,998.195155476,1.18048445237,1005.18412316,0.481587683513
79.25,991.851167023,1.81488329768,1004.8912643,0.510873570414
79.5,997.220486445,1.27795135547,1004.9016284,0.509837159963
79.75,995.894361865,1.41056381353,1004.08382348,0.59161765155
80,995.225056816,1.47749431835,1001.95160124,0.804839875617
80.25,998.550164302,1.14498356983,1001.26268895,0.873731105087
80.5,996.138870529,1.3861129471,1000.24078234,0.975921766283
80.75,994.113991867,1.58860081334,998.576694289,1.14233057115
81,992.165564713,1.78344352871,997.732321046,1.2267678954
81.25,994.841463667,1.51585363329,997.953614882,1.20463851179
81.5,998.531351638,1.14686483618,996.227573813,1.37724261866
81.75,997.423957015,1.25760429854,995.559290889,1.44407091107
82,996.929127829,1.30708721707,995.297282367,1.47027176333
82.25,994.29095636,1.57090436399,994.577420284,1.54225797157
82.5,995.490960095,1.45090399054,995.435650872,1.45643491277
82.75,1000.71832584,0.92816741567,994.931674629,1.50683253708
83,1003.88303412,0.61169658845,993.941698098,1.60583019025
83.25,1001.93024685,0.806975314974,996.356334316,1.36436656844
83.5,1004.68536631,0.53146336866,994.64516665,1.53548333498
83.75,1003.40097091,0.659902909272,996.369522498,1.36304775019
84,1002.76067284,0.723932716194,996.464460532,1.35355394679
84.25,1000.06984959,0.993015041248,994.817231998,1.51827680023
84.5,1000.99292888,0.900707111577,996.578799195,1.34212008052
84.75,1001.52588646,0.847411353977,998.403589196,1.15964108038
85,997.226221717,1.27737782829,998.343032921,1.1656967079
85.25,998.632041274,1.13679587257,999.766341202,1.02336587984
85.5,1001.73147023,0.826852977409,998.788116789,1.12118832111
85.75,999.621685815,1.03783141852,999.590075212,1.04099247881
86,1002.29895085,0.770104914921,1000.43329893,0.956670106837
86.25,997.615982598,1.23840174023,1000.76309158,0.923690842458
86.5,995.194238685,1.48057613151,1002.46902954,0.75309704597
86.75,998.128030816,1.18719691839,1002.90450817,0.709549182845
87,999.56208466,1.04379153399,1001.75387191,0.824612808939
87.25,1002.75581907,0.724418093176,999.564260482,1.04357395179
87.5,1002.19768804,0.780231196272,999.631306539,1.03686934609
87.75,997.976098852,1.20239011476,1000.75136137,0.924863863365
88,1001.82125755,0.817874245064,1000.95701719,0.904298281042
88.25,998.848563013,1.11514369866,1001.76350552,0.823649448373
88.5,998.72672045,1.12732795495,1001.32572334,0.867427665948
88.75,1002.90600106,0.709399894377,1001.88234114,0.811765885878
89,1003.92142628,0.60785737175,1000.78841123,0.921158876969
89.25,1004.90595313,0.509404687089,999.997502859,1.00024971415
89.5,1004.11662169,0.588337830768,999.004927594,1.09950724061
89.75,1003.35115337,0.664884663266,999.81949509,1.01805049101
90,1000.35767108,0.964232891568,1000.34977476,0.965022524378
90.25,1001.57612072,0.842387927972,1000.13489514,0.986510485725
90.5,998.573461703,1.14265382968,999.414075489,1.05859245105
90.75,997.402174141,1.25978258595,1000.1331813,0.986681869649
91,997.454910625,1.25450893751,999.508555495,1.04914445055
91.25,999.627144478,1.0372855522,1000.03535868,0.996464132434
91.5,995.084101729,1.49158982713,999.054303745,1.09456962552
91.75,996.202498734,1.37975012662,999.440059282,1.0559940718
92,997.917489761,1.20825102387,999.278971153,1.07210288468
92.25,997.491163612,1.25088363875,1000.24648144,0.975351856455
92.5,1000.37567855,0.962432144786,1000.23546798,0.976453202071
