step,replica_0_potential_energy_per_atom,replica_1_potential_energy_per_atom,replica_2_potential_energy_per_atom,replica_0_coordination_number,replica_1_coordination_number,replica_2_coordination_number
1810,-5.16235176431,-4.96398234408,-5.31598555493,12.625,12.375,12.5
1820,-5.09311187068,-4.98314726425,-5.3397821405,12.6875,12.4375,12.625
1830,-5.06126363099,-5.13231980123,-5.29031285636,12.5,12.375,12.4375
1840,-5.05506057313,-5.23999351084,-5.24270208311,12.375,12.375,12.4375
1850,-5.07275343409,-5.22702194707,-5.22828616627,12.3125,12.1875,12.5625
1860,-5.08562420455,-5.11929763741,-5.24356290071,12.3125,12.1875,12.3125
1870,-5.05405816516,-4.96323651699,-5.25264708247,12.1875,12.25,12.3125
1880,-5.0050583381,-4.92259107635,-5.23249772085,12.25,12.5625,12.3125
1890,-4.97944174987,-5.04055335527,-5.23167348219,12.125,12.5,12.3125
1900,-5.04372376465,-5.11171511703,-5.24625713758,12.125,12.6875,12.375
1910,-5.09983333678,-5.04809109165,-5.26911398999,12.1875,12.6875,12.4375
1920,-5.09843305456,-4.91652360478,-5.28572288652,12.3125,12.375,12.4375
1930,-5.10321647204,-4.81203300434,-5.27057381094,12.25,12.375,12.5625
1940,-5.13053956672,-4.91036845888,-5.22581802552,12.4375,12.3125,12.5625
1950,-5.17073593833,-4.97323967216,-5.20939653092,12.625,12.3125,12.625
1960,-5.22407625472,-4.94415340167,-5.2394570123,12.5625,12.375,12.75
1970,-5.25121435402,-4.92531676758,-5.29397721207,12.5,12.25,12.6875
1980,-5.2480503469,-4.98569657681,-5.35935004249,12.5,12.4375,12.5625
1990,-5.23729012953,-5.02527668375,-5.39822525261,12.75,12.5,12.5625
2000,-5.18601332343,-4.96651747261,-5.39014244882,12.625,12.4375,12.5625
2010,-5.171507715,-4.84758786545,-5.31936547359,12.6875,12.25,12.625
2020,-5.18608992683,-4.79286374747,-5.19109321218,12.75,12.25,12.5625
2030,-5.24069166963,-4.85754405587,-5.11140758539,12.6875,12.375,12.5
2040,-5.34650608504,-4.91482180464,-5.16897469959,12.625,12.1875,12.5625
2050,-5.37699921776,-5.00229786047,-5.274756931,12.5625,12.375,12.4375
2060,-5.31661686887,-5.08212331725,-5.37840667443,12.5,12.25,12.3125
2070,-5.29483570482,-5.10888513682,-5.41678799749,12.4375,12.25,12.375
2080,-5.34370699813,-5.1384786767,-5.38829167543,12.5,12.125,12.5
2090,-5.34464885258,-5.17577293975,-5.3207511905,12.4375,11.875,12.5625
2100,-5.2838655407,-5.21002579126,-5.26096922715,12.4375,12,12.5
2110,-5.27371841096,-5.22747275999,-5.21280644158,12.3125,11.875,12.375
2120,-5.31607976812,-5.18620332446,-5.19590869389,12.375,12.125,12.375
2130,-5.32404608158,-5.14097472735,-5.20509507133,12.4375,12.125,12.4375
2140,-5.27423745778,-5.14693462952,-5.22561650573,12.5,12.25,12.25
2150,-5.18369262522,-5.19896960672,-5.23538259732,12.4375,12.3125,12.1875
2160,-5.11787057714,-5.26551960871,-5.1897839194,12.4375,12.3125,12.1875
2170,-5.16092806444,-5.26413695183,-5.16706501435,12.5625,12.25,12.375
2180,-5.21509039588,-5.19724750713,-5.25051663914,12.75,12.375,12.5625
2190,-5.13581745548,-5.15895485015,-5.38958609243,12.5625,12.625,12.5625
2200,-5.05707295664,-5.18288101793,-5.47244312055,12.5,12.5,12.5625
2210,-5.13085902455,-5.12277061958,-5.47399193007,12.5,12.8125,12.5625
2220,-5.1681032034,-5.0936081188,-5.40808116015,12.5,12.875,12.375
2230,-5.20506031977,-5.15758873697,-5.29114630368,12.25,12.6875,12.625
2240,-5.16123729415,-5.18281074622,-5.22018631439,12.25,12.625,12.6875
2250,-5.0454049327,-5.10888717461,-5.24597859895,12.375,12.5,12.6875
2260,-4.99281272177,-5.008174868,-5.27169464051,12.5,12.4375,12.4375
2270,-5.05800932123,-4.91344341507,-5.272469739,12.5625,12.5625,12.375
2280,-5.18396900907,-4.82642251004,-5.25434770438,12.6875,12.375,12.4375
2290,-5.27698484162,-4.86801400834,-5.25412998797,12.75,12.375,12.4375
