thermostat,replica_index,time,relative_energy_error
strong_argon_langevin,1,0.165,-2.37639572496e-05
strong_argon_langevin,1,0.18,-3.05677604665e-05
strong_argon_langevin,1,0.195,-5.09146055096e-05
strong_argon_langevin,1,0.21,-5.81053951692e-05
strong_argon_langevin,1,0.225,-4.58068645791e-05
strong_argon_langevin,1,0.24,4.85882382878e-07
strong_argon_langevin,1,0.255,2.09198459023e-05
strong_argon_langevin,1,0.27,-2.58380807934e-05
strong_argon_langevin,1,0.285,-4.80370339454e-05
strong_argon_langevin,1,0.3,-4.42496730063e-05
strong_argon_langevin,1,0.315,-4.81293105187e-05
strong_argon_langevin,1,0.33,-3.78690384013e-05
strong_argon_langevin,1,0.345,-5.21049780061e-06
strong_argon_langevin,1,0.36,-1.38919091966e-05
strong_argon_langevin,1,0.375,-3.80145866402e-05
strong_argon_langevin,1,0.39,-4.49039654376e-05
strong_argon_langevin,1,0.405,-4.33000834367e-05
strong_argon_langevin,1,0.42,-5.70809426512e-05
strong_argon_langevin,1,0.435,-5.82877223366e-05
strong_argon_langevin,1,0.45,-7.5833476679e-05
strong_argon_langevin,1,0.465,-5.69559136817e-05
strong_argon_langevin,1,0.48,-2.89404516233e-05
strong_argon_langevin,1,0.495,-2.40085814096e-05
strong_argon_langevin,1,0.51,-2.29074873927e-05
strong_argon_langevin,1,0.525,-6.07788650981e-05
strong_argon_langevin,1,0.54,-6.15109546008e-05
strong_argon_langevin,1,0.555,-2.57857779148e-05
strong_argon_langevin,1,0.57,-1.69717687968e-05
strong_argon_langevin,1,0.585,-7.97836515352e-05
strong_argon_langevin,1,0.6,-0.000111633525581
strong_argon_langevin,1,0.615,-3.59597670096e-06
strong_argon_langevin,1,0.63,1.60775580337e-05
strong_argon_langevin,1,0.645,-5.32357247208e-05
strong_argon_langevin,1,0.66,-9.9783209444e-05
strong_argon_langevin,1,0.675,-9.85838210944e-05
strong_argon_langevin,1,0.69,-3.21975355013e-05
strong_argon_langevin,1,0.705,-1.45649719961e-05
strong_argon_langevin,1,0.72,-4.75035353763e-05
strong_argon_langevin,1,0.735,-1.71867604482e-05
strong_argon_langevin,1,0.75,-6.26244565628e-08
strong_argon_langevin,1,0.765,-2.638621153e-05
strong_argon_langevin,1,0.78,-5.77450680219e-05
strong_argon_langevin,1,0.795,-5.19125960463e-05
strong_argon_langevin,1,0.81,-2.80297959884e-05
strong_argon_langevin,1,0.825,-1.76854695238e-05
strong_argon_langevin,1,0.84,8.59137117444e-06
strong_argon_langevin,1,0.855,-1.06543622491e-05
strong_argon_langevin,1,0.87,-3.14565029631e-05
strong_argon_langevin,1,0.885,-5.46119484437e-05
strong_argon_langevin,1,0.9,-7.39317948378e-05
