thermostat,time,kinetic_temperature
strong_argon_langevin,1.8,0.644223496458
strong_argon_langevin,1.815,0.741524953459
strong_argon_langevin,1.83,0.69771737254
strong_argon_langevin,1.845,0.67366813425
strong_argon_langevin,1.86,0.637634957862
strong_argon_langevin,1.875,0.58191419707
strong_argon_langevin,1.89,0.526004901596
strong_argon_langevin,1.905,0.495159568103
strong_argon_langevin,1.92,0.55115549037
strong_argon_langevin,1.935,0.587079978499
strong_argon_langevin,1.95,0.622944055487
strong_argon_langevin,1.965,0.712087964399
strong_argon_langevin,1.98,0.687920291359
strong_argon_langevin,1.995,0.684234865446
strong_argon_langevin,2.01,0.664551361417
strong_argon_langevin,2.025,0.729800110156
strong_argon_langevin,2.04,0.726092513976
strong_argon_langevin,2.055,0.752665580338
strong_argon_langevin,2.07,0.738075757319
strong_argon_langevin,2.085,0.700363130379
strong_argon_langevin,2.1,0.690596245561
strong_argon_langevin,2.115,0.776263899864
strong_argon_langevin,2.13,0.809247020875
strong_argon_langevin,2.145,0.72375121173
strong_argon_langevin,2.16,0.77009707282
strong_argon_langevin,2.175,0.770876684047
strong_argon_langevin,2.19,0.767934696898
strong_argon_langevin,2.205,0.717322266131
strong_argon_langevin,2.22,0.680046646157
strong_argon_langevin,2.235,0.677943022048
strong_argon_langevin,2.25,0.65591234367
strong_argon_langevin,2.265,0.723699227509
strong_argon_langevin,2.28,0.722697686077
strong_argon_langevin,2.295,0.678240980078
strong_argon_langevin,2.31,0.688982723335
strong_argon_langevin,2.325,0.740518507403
strong_argon_langevin,2.34,0.790373494291
strong_argon_langevin,2.355,0.785265950356
strong_argon_langevin,2.37,0.775649975974
strong_argon_langevin,2.385,0.724350364054
strong_argon_langevin,2.4,0.69138558416
strong_argon_langevin,2.415,0.642710425769
strong_argon_langevin,2.43,0.634874314915
strong_argon_langevin,2.445,0.634908678562
strong_argon_langevin,2.46,0.618871486062
strong_argon_langevin,2.475,0.676570778394
strong_argon_langevin,2.49,0.734055865279
strong_argon_langevin,2.505,0.748082549522
strong_argon_langevin,2.52,0.633806080289
strong_argon_langevin,2.535,0.633643726219
strong_argon_langevin,2.55,0.587702242191
strong_argon_langevin,2.565,0.590409898144
strong_argon_langevin,2.58,0.596744255255
strong_argon_langevin,2.595,0.522008899166
strong_argon_langevin,2.61,0.547655508318
strong_argon_langevin,2.625,0.563304424868
strong_argon_langevin,2.64,0.536608197695
strong_argon_langevin,2.655,0.519733906022
strong_argon_langevin,2.67,0.479176351831
strong_argon_langevin,2.685,0.464586099884
strong_argon_langevin,2.7,0.551313299493
strong_argon_langevin,2.715,0.678336279308
strong_argon_langevin,2.73,0.653083705979
strong_argon_langevin,2.745,0.621345645153
strong_argon_langevin,2.76,0.588268450467
strong_argon_langevin,2.775,0.623911729228
strong_argon_langevin,2.79,0.608917270174
strong_argon_langevin,2.805,0.625433985222
strong_argon_langevin,2.82,0.584180074083
strong_argon_langevin,2.835,0.647315585983
strong_argon_langevin,2.85,0.52870940413
strong_argon_langevin,2.865,0.59745350152
strong_argon_langevin,2.88,0.648779249883
strong_argon_langevin,2.895,0.6168029747
strong_argon_langevin,2.91,0.668791213883
strong_argon_langevin,2.925,0.658566024482
strong_argon_langevin,2.94,0.603034661724
strong_argon_langevin,2.955,0.560660117696
strong_argon_langevin,2.97,0.560242670708
strong_argon_langevin,2.985,0.599877936358
strong_argon_langevin,3,0.634921722533
strong_argon_langevin,3.015,0.637659031296
strong_argon_langevin,3.03,0.627764132083
strong_argon_langevin,3.045,0.644555069144
strong_argon_langevin,3.06,0.698026865404
strong_argon_langevin,3.075,0.76686242317
strong_argon_langevin,3.09,0.828030547793
strong_argon_langevin,3.105,0.730676910792
strong_argon_langevin,3.12,0.683995803716
strong_argon_langevin,3.135,0.658465220232
strong_argon_langevin,3.15,0.605266268052
strong_argon_langevin,3.165,0.642404522171
strong_argon_langevin,3.18,0.630762021782
strong_argon_langevin,3.195,0.627340414442
strong_argon_langevin,3.21,0.641320127733
strong_argon_langevin,3.225,0.675614120575
strong_argon_langevin,3.24,0.692512486783
strong_argon_langevin,3.255,0.697663511539
strong_argon_langevin,3.27,0.633448831478
strong_argon_langevin,3.285,0.601587480821
strong_argon_langevin,3.3,0.58825842091
strong_argon_langevin,3.315,0.529132192405
strong_argon_langevin,3.33,0.58495014256
strong_argon_langevin,3.345,0.612442480488
strong_argon_langevin,3.36,0.594929289872
strong_argon_langevin,3.375,0.631368538046
strong_argon_langevin,3.39,0.60590580265
strong_argon_langevin,3.405,0.622389927456
strong_argon_langevin,3.42,0.670645574471
strong_argon_langevin,3.435,0.64100283334
strong_argon_langevin,3.45,0.711770465172
strong_argon_langevin,3.465,0.829919239401
strong_argon_langevin,3.48,0.856276320015
strong_argon_langevin,3.495,0.804568140935
strong_argon_langevin,3.51,0.793562222538
strong_argon_langevin,3.525,0.779962430461
strong_argon_langevin,3.54,0.800361562203
strong_argon_langevin,3.555,0.860994541655
strong_argon_langevin,3.57,0.863967867404
strong_argon_langevin,3.585,0.857082466725
