time,weak_langevin_position,weak_langevin_velocity,strong_langevin_position,strong_langevin_velocity
22.64,-0.752584970107,0.112753504351,-0.24368359542,-0.408895920657
22.8,-0.712403411326,0.403438724442,-0.243642484867,1.03047310945
22.96,-0.661045479579,0.212331635067,-0.173496091315,0.226366213003
23.12,-0.607511852505,0.406260098154,-0.101278770215,0.464148879224
23.28,-0.509718764385,0.742658633434,-0.106130542156,0.017977364473
23.44,-0.400380522224,0.791826884336,-0.219837950573,-1.28498997362
23.6,-0.269300943416,0.757662232445,-0.425890775468,-0.324133755695
23.76,-0.156497879945,0.697778493087,-0.531215722497,-1.12053950222
23.92,-0.0338940243433,0.86928776936,-0.638685262968,-0.472396182515
24.08,0.112647121338,0.901605148276,-0.667029033214,-0.313118272903
24.24,0.237911547089,0.68561778032,-0.789819255162,-1.18027246216
24.4,0.317686505671,0.323338082447,-0.858784062647,0.892968915441
24.56,0.348126258456,0.169549548126,-0.795227574821,1.09569591438
24.72,0.359498036721,0.105859631791,-0.689354161829,-0.344604680898
24.88,0.379271837053,0.253742335579,-0.576850493775,0.936139768755
25.04,0.438949608327,0.422674878356,-0.373721695899,0.932319496616
25.2,0.502814849351,0.449532970058,-0.278211894073,-0.337022437992
25.36,0.533350265116,0.00955910837919,-0.232471039132,0.440409892108
25.52,0.53455388627,-0.0852034326174,-0.231798891912,-0.715237041492
25.68,0.533826952524,-0.148897165239,-0.268904341635,-0.488729803638
25.84,0.481557425429,-0.525747876106,-0.196635472851,0.691743843715
26,0.401598486627,-0.464575607747,-0.151174490133,-0.294591664689
26.16,0.321406603974,-0.495786366454,-0.395818093164,-2.22675237228
26.32,0.227457454065,-0.556948370658,-0.521566765487,0.368220806628
26.48,0.138519901475,-0.476577893815,-0.407304782248,0.785562682855
26.64,0.0581238463606,-0.650456249448,-0.227839879584,1.44872699444
26.8,-0.0526902966036,-0.758903492587,-0.199136765427,-0.269736057909
26.96,-0.173071659244,-0.694434316572,-0.205671317361,-0.632919393229
27.12,-0.292532957451,-0.745356537578,-0.279008836042,-0.107046660181
27.28,-0.442075445972,-1.11384160445,-0.369196940117,-0.257473094607
27.44,-0.576633679377,-0.617751304123,-0.314776873555,-0.144085567478
27.6,-0.653905330625,-0.440511323425,-0.233603205425,0.915970080134
27.76,-0.671867637689,-0.0532424928609,0.0233361382684,0.966698770939
27.92,-0.668883222634,-0.0721258777618,0.333760177033,1.36132509411
28.08,-0.649688059525,0.310713187706,0.44422759909,0.323319440196
28.24,-0.614979378867,0.229792247998,0.391896457983,-0.573697951922
28.4,-0.559155865058,0.3680165359,0.414146636292,0.0779195577927
28.56,-0.483604267235,0.61021958223,0.5682062572,0.978840047269
28.72,-0.384060333121,0.605924504165,0.71569746802,1.19949497581
28.88,-0.278295237884,0.861213599892,0.806060899265,-0.657240819761
29.04,-0.14729424995,0.991994212966,0.711466730237,-0.191695467792
29.2,0.0342160222633,1.13956593072,0.669557036469,-1.04799195347
29.36,0.223188240888,1.26991898388,0.407337159676,-1.68232914206
29.52,0.459017329021,1.47424746816,0.137929670984,-1.37724051776
29.68,0.674374470413,1.10770237615,0.0507942568065,-0.584453759354
29.84,0.86524417618,1.1926444108,-0.0556850341612,-0.640447413104
30,1.07228126925,1.29142663771,-0.0906325367088,0.650823362646
30.16,1.26238128125,1.09176368547,-0.134873032019,-1.23318494931
30.32,1.42154517642,0.999965638374,-0.448287798735,-1.73072682084
30.48,1.5649809291,0.957475036477,-0.668190599693,-0.758722665952
30.64,1.66501853013,0.545565476159,-0.733757632588,0.44125945358
30.8,1.7114038603,0.153630996852,-0.725962292356,0.568276649471
30.96,1.75165911288,0.254986386003,-0.650361717872,0.916822060944
31.12,1.76359628396,-0.0861490369873,-0.664906726331,0.664011439995
31.28,1.73647852336,-0.323259653144,-0.46054033289,1.52206502415
31.44,1.68967541084,-0.337474063904,-0.150858660535,1.02724370088
31.6,1.61651318008,-0.470718784986,0.0411062037165,1.44163503576
31.76,1.53948749913,-0.606219816554,0.301676458496,1.42767452757
31.92,1.42934968151,-0.71881648933,0.455274535413,0.654773962142
32.08,1.29693042889,-0.983119047498,0.395328393347,0.0116254073403
32.24,1.14390570459,-0.988811839892,0.416178532422,0.096381494975
32.4,0.947752209853,-1.30469236317,0.310090744225,-0.796567416448
32.56,0.751980359866,-1.10179717388,0.180396859337,-2.10286985356
32.72,0.606344729455,-0.591489622207,-0.100732943149,-1.58690516852
32.88,0.515086502616,-0.562803018351,-0.382513786896,-0.225746185717
33.04,0.413621435508,-0.427888025308,-0.441118372479,-0.46021112206
33.2,0.329468676846,-0.680682588891,-0.437966957951,0.258032302457
33.36,0.186117381119,-0.907656713826,-0.333606673448,1.26682234437
33.52,0.0451454826573,-0.873389361331,-0.345127766336,-0.256899420373
33.68,-0.115577016549,-1.0043777748,-0.485200452945,-1.0043281628
33.84,-0.247753665384,-0.705417536658,-0.547642900382,-0.395676934079
34,-0.353212084233,-0.590449180762,-0.63433007854,-0.814099937399
34.16,-0.459486018246,-0.782271382375,-0.649569192492,-1.21020210546
34.32,-0.589968092788,-0.680727903729,-0.734335796631,0.316594971355
34.48,-0.682849728644,-0.386608414067,-0.750953835869,0.202168941169
34.64,-0.714425132528,-0.0287515313143,-0.823967760076,-0.120307390179
34.8,-0.710857300957,0.0905366532896,-0.910960051754,0.119275608242
34.96,-0.721473868803,-0.0694756275033,-0.877645331886,1.06388323725
35.12,-0.737823732331,-0.212037531917,-0.775872933884,-0.484639528439
35.28,-0.749525912795,-0.0100357638829,-1.00754947609,-1.60054660824
35.44,-0.748145623607,0.0761544026395,-1.13127484015,0.0630586473548
35.6,-0.706443925074,0.387975610766,-1.11735704756,0.384589270435
35.76,-0.646371842513,0.40162222841,-0.974622636065,0.71541327449
35.92,-0.5841918376,0.298740675971,-0.759677154778,1.13747075159
36.08,-0.533068392651,0.392375320616,-0.712899142931,-0.79192461231
36.24,-0.45674112208,0.524815960385,-0.743956976059,-1.06324075349
36.4,-0.388195160647,0.480705015678,-0.882231109168,-0.893756991781
36.56,-0.295106160845,0.725631274193,-0.920736630753,0.162193994476
36.72,-0.17641222291,0.734176860611,-0.912085323403,-0.00371995963495
36.88,-0.0634592599916,0.823183512405,-0.86880299164,-0.237719620558
37.04,0.0777157080811,0.771297229928,-0.850047751826,1.32849258934
37.2,0.193812276012,0.700358773947,-0.716930902681,-0.0107128245144
37.36,0.313352784987,0.789363198084,-0.569085971617,1.44537090969
37.52,0.450752197886,0.781303923428,-0.382244338162,0.419627439685
37.68,0.592682984872,0.91219242745,-0.408695655119,0.0280225428736
37.84,0.738293138669,0.927021325366,-0.322690371556,1.42289439103
38,0.878300068431,0.738790721574,-0.188411121628,-0.278078277286
38.16,0.973856439146,0.434605161258,-0.221835614075,-1.35778574886
38.32,1.03125474737,0.243408353401,-0.24113761244,-0.224667645346
38.48,1.05086649043,0.0540267398832,-0.359904250608,0.834761504105
38.64,1.03983568996,-0.183413839184,-0.201608181645,1.02121663796
38.8,0.985643853671,-0.376957542789,-0.194110202807,-0.282581854053
38.96,0.893324584511,-0.702249578933,-0.114727601342,1.44354837961
39.12,0.762680199197,-0.873699252253,0.1200407876,2.11526213673
39.28,0.605708148171,-1.07571529365,0.357574650154,1.3122717469
39.44,0.441801120868,-0.884289122792,0.547455045234,1.76195075524
39.6,0.270957951629,-1.24131410361,0.623615035568,-0.536482387738
39.76,0.0598533420441,-1.26148407995,0.676878204316,0.324447908465
39.92,-0.164044148522,-1.47628280551,0.715333049946,-0.0679616691407
40.08,-0.409647259496,-1.53291182156,0.809105034314,0.623540364338
40.24,-0.679255276967,-1.81304286141,0.743983579063,-0.907106164216
40.4,-0.995787376181,-2.01521591583,0.692988114315,0.371583817451
40.56,-1.31090048148,-1.89992549903,0.899867131032,1.32191208572
40.72,-1.5928744715,-1.68404393452,1.00269605557,0.084720546751
40.88,-1.83915859088,-1.32555293239,1.04880783584,1.98393326235
41.04,-2.00714547413,-0.705858052521,1.3159185959,0.49131383232
41.2,-2.13354116826,-0.694171399617,1.24035962223,-0.944237082348
41.36,-2.24604228904,-0.656371695332,1.14622231801,-0.276101878565
41.52,-2.30959627655,-0.267155551654,1.07899562829,0.61446841863
41.68,-2.3393722828,0.0184339674479,1.13046804742,-0.569300357386
41.84,-2.30787031452,0.291285821846,1.16856419525,0.779314899781
42,-2.22757750763,0.656734856072,1.3259645872,-0.545950927262
42.16,-2.10243393019,0.818237003949,1.0794026241,-1.11729548144
42.32,-1.94443902931,1.21170701035,0.954118251319,-0.438869523499
42.48,-1.71481694707,1.60920246056,0.831437442767,-1.65047807484
42.64,-1.41363069915,2.11713840862,0.495208779876,-2.71751450995
42.8,-1.06377754259,2.27468926898,0.115824579069,-1.4567410573
42.96,-0.697375848584,2.20232862176,-0.0370251672168,-0.00325948061318
43.12,-0.342808042108,2.13555813525,-0.0165441724287,-0.816687529984
43.28,0.00696071441293,2.24499204074,-0.110422419277,-0.134118725557
43.44,0.359142075633,2.11599309247,-0.063046754634,0.377496260863
43.6,0.6561277781,1.76348860862,0.119520086345,1.17036075182
43.76,0.907220518726,1.40235272453,0.202316684663,-0.361782446131
43.92,1.10683394876,1.12128328873,0.131178953089,0.250424989838
44.08,1.24439367186,0.600099740288,0.136804531352,0.142255174059
44.24,1.32082187473,0.396716116177,0.106581002196,0.571240908011
44.4,1.37715763284,0.255162125359,0.212705707641,1.12717116982
44.56,1.40629760352,0.0366618902925,0.425609688577,0.922080063371
44.72,1.41107503815,-0.0079542027996,0.527825926228,0.0817225941776
44.88,1.4049750104,0.0247958000641,0.65126035525,0.823895433113
45.04,1.39874163776,-0.259408778616,0.797254524326,1.55517876024
45.2,1.33463568106,-0.611375397848,1.10205299264,3.29080614775
45.36,1.20408703019,-0.946324600833,1.44355584664,0.527188381508
45.52,1.02903808782,-1.30795197499,1.58875275702,0.1050756418
45.68,0.853519259305,-0.961794335618,1.57993771063,-0.266807167668
45.84,0.654252328856,-1.43509991808,1.55010275029,-0.689155934634
46,0.410002279957,-1.46045923697,1.46617294768,-0.632301659366
46.16,0.180744882847,-1.55488830326,1.30130167627,-1.07866469244
46.32,-0.0560812441024,-1.5002137665,1.02811973603,-1.81607810389
46.48,-0.281204785958,-1.42055293034,0.893582119125,0.314618100517
46.64,-0.499417355589,-1.23786848264,0.870506131432,0.0196119380406
46.8,-0.6812121557,-1.01595227183,0.812618820077,0.157088504508
46.96,-0.829642642697,-0.861170564169,0.907526329978,0.743197099716
47.12,-0.936764497788,-0.410667404151,1.08824742189,1.80586691059
47.28,-0.972478765025,-0.199088414525,1.38940718106,1.32101696774
47.44,-0.97251937871,0.218559816341,1.33803481805,-1.55410585801
47.6,-0.922312959478,0.499625109496,0.980432722205,-1.74074935277
47.76,-0.822897337665,0.653772351748,0.857163371668,0.737921979152
47.92,-0.722692275132,0.576157853477,0.907188231208,0.79530444603
48.08,-0.58978713394,0.782391237125,1.13191847967,1.67854680975
48.24,-0.469421852438,0.753730043591,1.32886516226,0.341394057036
48.4,-0.323080827864,1.06374847454,1.48350416216,1.44569439296
48.56,-0.151444015649,1.0802577909,1.56798412259,-0.719063580034
48.72,0.0406494232578,1.25780697032,1.46230911714,-0.752189975981
48.88,0.242637372226,1.24308398683,1.40630292796,-0.183636524786
49.04,0.42856679598,1.15881847461,1.49932323009,0.298696059187
49.2,0.587921502341,0.859353187733,1.35470965915,-0.825745477711
49.36,0.69638477916,0.583107536711,1.20130651405,-0.238805479119
49.52,0.758979229576,0.341891075724,1.00427109973,-1.6412196602
49.68,0.775941800308,-0.116059834654,0.896108655001,0.270638088316
49.84,0.764555252537,-0.0209753107063,0.942805161597,0.791845915603
50,0.744480116994,-0.221417928635,1.00616301043,0.979597301277
50.16,0.683165446108,-0.503072663269,1.08500846245,0.0962014125725
50.32,0.606233805434,-0.408460438045,1.08388339446,-0.552484274695
50.48,0.525099941482,-0.561117970686,1.07070658649,0.0404155489952
50.64,0.434970159822,-0.572174593546,1.1283426842,1.34926624691
50.8,0.309924732951,-0.902307163485,1.16409041868,-0.226032949241
50.96,0.157599718226,-0.984985491544,1.22302551272,1.13022536377
51.12,-0.00476386680428,-0.932994235416,1.4352190086,0.353830685633
51.28,-0.166440031372,-0.95408980762,1.51296656256,0.90695475521
51.44,-0.303609991439,-0.754212295128,1.5880339716,-0.92967946846
51.6,-0.399608293344,-0.469319806035,1.45020393023,-1.33466939409
51.76,-0.470837786998,-0.529293499533,1.25980651892,-0.83450391209
51.92,-0.55487797257,-0.413786824123,1.11668586536,-1.00675655183
52.08,-0.609904536653,-0.457928567689,0.878304475756,-2.13426331972
52.24,-0.674484372039,-0.364517667239,0.699364554146,-0.769302775623
52.4,-0.702767991944,0.0420706632726,0.718602002019,0.710513227439
52.56,-0.64871629669,0.648826041634,0.747856832754,-0.178992811439
52.72,-0.563527029769,0.603912277001,0.751603983203,0.130091353085
52.88,-0.4864871138,0.248990054918,0.969281830295,2.62001452237
53.04,-0.460342457643,0.0784142076095,1.21781236488,0.561006979316
53.2,-0.435892782716,0.242212870477,1.31348954733,0.766132346668
53.36,-0.376555651582,0.536948680155,1.32996889608,-0.055553574163
53.52,-0.26158116777,0.906503669007,1.40196835258,1.69316798556
53.68,-0.13233796807,0.74089457324,1.56430401432,0.376329544154
53.84,-0.00515459721519,0.872099295845,1.56834304774,-0.103494518813
54,0.16055988899,1.08532817122,1.66458890611,1.4395408705
54.16,0.30247401247,0.658463974263,1.694419682,-0.563379203365
54.32,0.414346045609,0.798071808621,1.546437602,-0.159003428496
54.48,0.538746784175,0.797568541885,1.50605399801,-0.364888730355
54.64,0.673962544841,0.789692319685,1.38661641164,-0.568364003552
54.8,0.783872117467,0.817444955779,1.2066179684,-0.874157982605
54.96,0.90738174787,0.763606621291,0.960822139732,-1.2157354015
55.12,1.06264542974,0.927835632536,0.892226070332,1.35722650846
55.28,1.21209301392,0.833692404962,1.07982848274,1.76395863403
55.44,1.33987307003,0.626143956051,1.3190688299,0.902793104513
55.6,1.41242716406,0.228148874813,1.43499075068,0.550084436056
55.76,1.40430375599,-0.116993872166,1.30479364561,-1.05775042758
55.92,1.35269223478,-0.467026455845,1.25737085643,1.25760085211
56.08,1.28140550562,-0.402284692865,1.38241890731,0.909516731398
56.24,1.18856713406,-0.858282572825,1.5306398544,0.888267262735
56.4,1.0596360723,-0.779615265275,1.63360373519,0.878040602811
56.56,0.913915558824,-0.900159618613,1.75245925914,0.110760322824
56.72,0.761873815643,-0.950458769818,1.63820909194,-0.314965753453
56.88,0.632697351699,-0.829384981963,1.5696132303,-0.565133045106
57.04,0.486032799024,-0.960742653152,1.42946970206,-1.42923155372
57.2,0.329105322525,-0.956866864522,1.27886406326,-2.129007897
57.36,0.181780927398,-0.936437776723,1.14942406517,0.48447377605
57.52,0.0332628032122,-0.851028998717,1.04993424609,-1.08642778257
57.68,-0.139209798892,-1.28408217887,0.953890798345,-0.356182336421
57.84,-0.343089070838,-1.26322342532,0.857469582729,0.157220022719
58,-0.569119698268,-1.35862886408,0.851779325065,0.261255721414
58.16,-0.763602435093,-1.12362394444,0.845547683855,-0.0283950682816
58.32,-0.918046802707,-1.06200140196,0.776039802076,-1.48027084536
58.48,-1.09031419465,-0.993493608533,0.488207872655,-2.636803245
58.64,-1.22921376902,-0.799185889083,0.0934959978152,-2.56582429121
58.8,-1.35308790235,-0.64339718914,-0.233530161605,-1.67774489969
58.96,-1.42307361836,-0.285076213244,-0.397733518049,-0.490928266078
59.12,-1.4412471748,0.0508007544017,-0.50156833705,-0.673903651391
