true_x,true_pmf,dense_windows_x,dense_windows_pmf,dense_windows_replica_pmf,dense_windows_replica_abs_difference,sparse_windows_x,sparse_windows_pmf,sparse_windows_replica_pmf,sparse_windows_replica_abs_difference,pair_distance_umbrella_x,pair_distance_umbrella_pmf,pair_distance_umbrella_replica_pmf,pair_distance_umbrella_replica_abs_difference,pair_distance_umbrella_true_pmf
-0.54,0.5002624,-0.54,0.48128545247,0.470342535188,0.0109429172827,-0.54,0.996666054816,1.44206544462,0.445399389803,1.9,0.910009870128,0.909263446543,0.000746423584721,0.90889364109
-0.46,0.6200064,-0.46,0.783175174024,0.67304685258,0.110128321444,-0.46,1.19548048185,1.72335757105,0.527877089194,1.94,0.919626608667,0.920477889785,0.000851281117914,0.918484717628
-0.38,0.7304832,-0.38,0.78745419854,0.851294365338,0.0638401667976,-0.38,1.40350532494,1.77768197401,0.374176649068,1.98,0.915023203332,0.963935481927,0.0489122785953,0.926826687084
-0.3,0.82653184,-0.3,0.859935467313,0.865462797729,0.00552733041637,-0.3,1.57153063381,1.91383180767,0.342301173854,2.02,0.918802677493,0.886423305887,0.0323793716061,0.934098603444
-0.22,0.9039744,-0.22,1.02945289336,0.866343995556,0.163108897804,-0.22,0.920060022541,1.62931927772,0.709259255184,2.06,0.968338470138,0.912744469464,0.0555940006744,0.94045195626
-0.14,0.959616,-0.14,1.04433630701,0.88843114243,0.155905164582,-0.14,0.665554830842,2.44742476061,1.78186992977,2.1,0.932127259909,0.869350010331,0.0627772495785,0.946015105265
-0.06,0.9912448,-0.06,1.17331834973,1.07355852872,0.0997598210084,-0.06,1.82916499097,1.09363362199,0.735531368981,2.14,0.996127294326,0.926787508912,0.0693397854141,0.950896997454
0.02,0.997632,0.02,1.14180315259,0.95701567564,0.184787476955,0.02,0.64501401246,1.52654011767,0.881526105214,2.18,0.922626234733,0.837507022949,0.0851192117845,0.955190274964
0.1,0.97853184,0.1,1.07677184179,0.994944519592,0.0818273221958,0.1,1.14574656357,0.444401242892,0.701345320677,2.22,1.01481578516,0.967878189308,0.046937595852,0.958973870187
0.18,0.9346816,0.18,0.968945077143,0.994184883487,0.0252398063433,0.18,1.10101493787,1.05064825911,0.0503666787582,2.26,0.926307083494,0.912016770827,0.0142903126675,0.962315171767
0.26,0.8678016,0.26,0.97353321823,0.907245425614,0.0662877926159,0.26,0.829380969631,0.843303653312,0.0139226836813,2.3,0.990661560858,0.923713449653,0.0669481112051,0.965271832783
0.34,0.7805952,0.34,0.918345168181,0.830039179887,0.0883059882941,0.34,0.730257547078,0.704564263158,0.0256932839202,2.34,0.973330323786,0.914163825964,0.0591664978221,0.967893281264
0.42,0.6767488,0.42,0.765330249983,0.761825478148,0.00350477183476,0.42,0.783836204258,0.762725769399,0.0211104348585,2.38,0.944197232046,0.880384667725,0.0638125643214,0.970221983352
0.5,0.56093184,0.5,0.630468079711,0.627380245869,0.00308783384174,0.5,0.78673749073,0.731127085448,0.0556104052815,,,,,
0.58,0.4387968,0.58,0.458072808616,0.485020558342,0.0269477497259,0.58,0.544081797111,0.46073968964,0.0833421074711,,,,,
0.66,0.3169792,0.66,0.355387584661,0.35878442491,0.00339684024971,0.66,0.437192284856,0.458267694611,0.0210754097546,,,,,
